trip_id,avg_speed,max_speed,braking_events,acceleration_events,night_driving,phone_usage,trip_duration,risk_score,label
TRIP_1,60.960569836134795,110.56722152333276,5,0,0,0,20.48515357567218,31.237160338518393,0
TRIP_2,53.340828385945784,83.97628567342933,1,3,0,1,30.451088334999408,36.99473014965097,0
TRIP_3,62.77226245720831,78.63602233155386,3,4,0,0,20.47925306675456,24.14133829590086,0
TRIP_4,73.2763582768963,94.93251085178096,3,2,0,0,26.516708563963643,26.429446855951323,0
TRIP_5,52.19015950331997,91.59630754950143,4,6,0,0,38.01388559847869,29.68806834433365,0
TRIP_6,52.19035651660983,85.9354390134545,2,3,0,0,42.674076355535306,23.763430891878777,0
TRIP_7,73.9505537860887,108.92774894913431,3,5,0,1,11.147130151185529,46.53949976647429,0
TRIP_8,64.20921674983491,114.10610417141021,4,1,0,1,34.73947988736353,46.35691203809116,0
TRIP_9,49.366307368780575,96.76813772583695,2,2,1,0,26.200763966603713,40.50403060574155,0
TRIP_10,61.51072052303158,124.55060162110524,3,3,1,0,25.273777865617813,48.67791147135673,0
TRIP_11,49.43898768625046,72.1662177173299,2,3,1,0,36.99026928699615,35.703603937184425,0
TRIP_12,49.411242957156915,91.12681081440564,4,3,0,0,26.74322190966182,27.583735736534585,0
TRIP_13,57.90354725879241,80.66355358794391,1,3,0,0,55.73206992270011,21.25856746398754,0
TRIP_14,32.04063706410643,57.6692676585388,3,4,0,0,52.820928143765904,19.48205947967529,0
TRIP_15,34.300986009843605,93.34638628314602,5,7,0,0,52.72742440913059,32.076974729588,0
TRIP_16,48.25254964910833,92.56504983233432,2,4,0,0,27.57634706764547,25.9033444071854,0
TRIP_17,42.84602655598691,125.26899486484263,4,6,0,0,20.562517476210168,37.17088774774281,0
TRIP_18,58.77096799114329,107.61623369109554,2,5,1,0,36.23044894082173,44.91471859802123,0
TRIP_19,44.10371109374547,74.51626351341591,1,1,0,0,32.74477450570599,18.55916966964798,0
TRIP_20,38.05235558397651,132.08185132668376,3,2,0,0,25.86765256364953,34.68485585037418,0
TRIP_21,72.58778522705865,119.42067391050706,4,6,0,0,17.363983299995578,35.871260869001574,0
TRIP_22,52.29068439416157,106.64195406937232,7,3,0,0,34.37723046097893,35.031545348749404,0
TRIP_23,55.81033845625509,90.47031802300336,4,6,0,0,28.9389582462129,29.437848449556302,0
TRIP_24,37.90302176543852,75.81121526553041,6,7,0,0,45.32520555557029,29.513603392340094,0
TRIP_25,48.467407305697805,87.55586447857894,4,5,0,0,44.97659077282219,28.12352543968421,0
TRIP_26,56.33107107651839,116.77497239408372,1,7,0,0,51.51199708134075,31.94999386535194,0
TRIP_27,41.188077070932366,132.69172611869217,1,2,0,0,16.110566721799426,32.15371691526492,0
TRIP_28,59.508376220148065,125.86487056544378,7,8,0,0,41.01587461540449,42.636637903431954,0
TRIP_29,47.79233572097434,85.22301156427451,4,7,0,0,24.08801440649492,28.93844701428323,0
TRIP_30,51.49967500248068,72.60765133421978,3,4,1,0,16.69378683783373,37.80170029649329,0
TRIP_31,47.77952065324724,97.81772493822407,3,5,0,0,28.57096644576935,29.070605541827575,0
TRIP_32,77.22733821410725,59.63121268874297,3,1,0,0,51.030574702019265,17.918047264165104,0
